timestamp,fps,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
1771963619.0366,31.0,50.0,0.0,PILOTING,SYS_GO,12.1522,4.01,0.0,0.0,277,0.0,0
1771963619.0893,31.3,50.0,0.0,PILOTING,SYS_GO,12.1707,4.01,0.0,0.0,277,0.0,0
1771963619.188,27.4,50.0,0.0,PILOTING,SYS_GO,12.221,4.01,0.0,0.0,277,0.0,0
1771963619.2421,28.3,50.0,0.0,PILOTING,SYS_GO,12.24,4.01,0.0,0.0,276,0.0,0
1771963619.3712,24.3,50.0,0.0,PILOTING,SYS_GO,12.3089,4.01,0.0,0.0,276,0.0,0
1771963619.4185,27.4,50.0,0.0,PILOTING,SYS_GO,12.3239,4.01,0.0,0.0,276,0.0,0
1771963619.5108,24.6,50.0,0.0,PILOTING,SYS_GO,12.3702,4.01,0.0,0.0,276,0.0,0
1771963619.5575,28.4,50.0,0.0,PILOTING,SYS_GO,12.3839,4.01,0.0,0.0,276,0.0,0
1771963619.6483,25.2,50.0,0.0,PILOTING,SYS_GO,12.4319,4.01,0.0,0.0,276,0.0,0
1771963619.6941,27.4,50.0,0.0,PILOTING,SYS_GO,12.4484,4.01,0.0,0.0,276,0.0,0
1771963619.7619,26.4,50.0,0.0,PILOTING,SYS_GO,12.4754,4.01,0.0,0.0,276,0.0,0
1771963619.8014,32.1,50.0,0.0,PILOTING,SYS_GO,12.4864,4.01,0.0,0.0,276,0.0,0
1771963619.8485,31.8,50.0,0.0,PILOTING,SYS_GO,12.506,4.01,0.0,0.0,276,0.0,0
1771963619.9556,27.4,50.0,0.0,PILOTING,SYS_GO,12.565,4.01,0.0,0.0,276,0.0,0
1771963620.0039,36.5,50.0,0.0,PILOTING,SYS_GO,12.5732,4.01,0.0,0.0,276,0.0,0
1771963620.1098,31.3,50.0,0.0,PILOTING,SYS_GO,12.6305,4.01,0.0,0.0,275,0.0,0
1771963620.1558,33.0,50.0,0.0,PILOTING,SYS_GO,12.6457,4.01,0.0,0.0,275,0.0,0
1771963620.2585,28.8,50.0,0.0,PILOTING,SYS_GO,12.6953,4.01,0.0,0.0,275,0.0,0
1771963620.2948,41.9,50.0,0.0,PILOTING,SYS_GO,12.7016,4.01,0.0,0.0,275,0.0,0
1771963620.3394,44.3,50.0,0.0,PILOTING,SYS_GO,12.7128,4.01,0.0,0.0,275,0.0,0
1771963620.4161,38.4,50.0,0.0,PILOTING,SYS_GO,12.7534,4.01,0.0,0.0,275,0.0,0
1771963620.4618,40.0,50.0,0.0,PILOTING,SYS_GO,12.7663,4.01,0.0,0.0,275,0.0,0
1771963620.5535,34.6,50.0,0.0,PILOTING,SYS_GO,12.8118,4.01,0.0,0.0,275,0.0,0
1771963620.6025,35.2,50.0,0.0,PILOTING,SYS_GO,12.8278,4.01,0.0,0.0,275,0.0,0
1771963620.7062,30.4,50.0,0.0,PILOTING,SYS_GO,12.8816,4.01,0.0,0.0,275,0.0,0
1771963620.7511,30.3,50.0,0.0,PILOTING,SYS_GO,12.9016,4.01,0.0,0.0,275,0.0,0
1771963620.8421,26.6,50.0,0.0,PILOTING,SYS_GO,12.9534,4.01,0.0,0.0,275,0.0,0
1771963620.8886,33.7,50.0,0.0,PILOTING,SYS_GO,12.9631,4.01,0.0,0.0,275,0.0,0
1771963621.0094,28.8,50.0,0.0,PILOTING,SYS_GO,13.0265,4.01,0.0,0.0,274,0.0,0
1771963621.0564,39.7,50.0,0.0,PILOTING,SYS_GO,13.0338,4.01,0.0,0.0,274,0.0,0
1771963621.1793,33.6,50.0,0.0,PILOTING,SYS_GO,13.0981,4.01,0.0,0.0,274,0.0,0
1771963621.2271,37.6,50.0,0.0,PILOTING,SYS_GO,13.1092,4.01,0.0,0.0,274,0.0,0
1771963621.2711,36.5,50.0,0.0,PILOTING,SYS_GO,13.128,4.01,0.0,0.0,274,0.0,0
1771963621.3906,31.1,50.0,0.0,PILOTING,SYS_GO,13.1928,4.01,0.0,0.0,274,0.0,0
1771963621.4381,34.5,50.0,0.0,PILOTING,SYS_GO,13.2052,4.01,0.0,0.0,274,0.0,0
1771963621.4848,36.0,50.0,0.0,PILOTING,SYS_GO,13.2194,4.01,0.0,0.0,274,0.0,0
1771963621.5598,31.8,50.0,0.0,PILOTING,SYS_GO,13.2602,4.01,0.0,0.0,274,0.0,0
1771963621.6137,32.3,50.0,0.0,PILOTING,SYS_GO,13.2776,4.01,0.0,0.0,274,0.0,0
1771963621.7112,28.3,50.0,0.0,PILOTING,SYS_GO,13.3272,4.01,0.0,0.0,274,0.0,0
1771963621.7571,29.5,50.0,0.0,PILOTING,SYS_GO,13.3446,4.01,0.0,0.0,274,0.0,0
1771963621.8253,27.0,50.0,0.0,PILOTING,SYS_GO,13.3798,4.01,0.0,0.0,273,0.0,0
1771963621.8783,25.7,50.0,0.0,PILOTING,SYS_GO,13.4091,4.01,0.0,0.0,273,0.0,0
1771963621.925,34.4,50.0,0.0,PILOTING,SYS_GO,13.4178,4.01,0.0,0.0,273,0.0,0
1771963622.0166,30.1,50.0,0.0,PILOTING,SYS_GO,13.4639,4.01,0.0,0.0,273,0.0,0
1771963622.0903,30.9,50.0,0.0,PILOTING,SYS_GO,13.4816,4.01,0.0,0.0,273,0.0,0
1771963622.1676,28.0,50.0,0.0,PILOTING,SYS_GO,13.5181,4.01,0.0,0.0,273,0.0,0
1771963622.2148,31.2,50.0,0.0,PILOTING,SYS_GO,13.5318,4.01,0.0,0.0,273,0.0,0
1771963622.323,27.0,50.0,0.0,PILOTING,SYS_GO,13.5916,4.01,0.0,0.0,273,0.0,0
1771963622.3754,30.4,50.0,0.0,PILOTING,SYS_GO,13.6052,4.01,0.0,0.0,273,0.0,0
1771963622.4767,26.4,50.0,0.0,PILOTING,SYS_GO,13.664,4.01,0.0,0.0,273,0.0,0
1771963622.5228,28.0,50.0,0.0,PILOTING,SYS_GO,13.6813,4.01,0.0,0.0,273,0.0,0
1771963622.5677,27.1,50.0,0.0,PILOTING,SYS_GO,13.707,4.01,0.0,0.0,273,0.0,0
1771963622.6777,23.9,50.0,0.0,PILOTING,SYS_GO,13.7622,4.01,0.0,0.0,272,0.0,0
1771963622.7225,35.1,50.0,0.0,PILOTING,SYS_GO,13.7697,4.01,0.0,0.0,272,0.0,0
1771963622.7699,33.2,50.0,0.0,PILOTING,SYS_GO,13.7932,4.01,0.0,0.0,272,0.0,0
1771963622.904,28.1,50.0,0.0,PILOTING,SYS_GO,13.8696,4.01,0.0,0.0,272,0.0,0
1771963622.9547,31.2,50.0,0.0,PILOTING,SYS_GO,13.8833,4.01,0.0,0.0,272,0.0,0
1771963623.0226,28.9,50.0,0.0,PILOTING,SYS_GO,13.9139,4.01,0.0,0.0,272,0.0,0
1771963623.0736,27.2,50.0,0.0,PILOTING,SYS_GO,13.9435,4.01,0.0,0.0,272,0.0,0
1771963623.1199,34.7,50.0,0.0,PILOTING,SYS_GO,13.9528,4.01,0.0,0.0,272,0.0,0
1771963623.1971,30.5,50.0,0.0,PILOTING,SYS_GO,13.9967,4.01,0.0,0.0,272,0.0,0
1771963623.243,30.5,50.0,0.0,PILOTING,SYS_GO,14.0164,4.01,0.0,0.0,272,0.0,0
1771963623.2887,29.8,50.0,0.0,PILOTING,SYS_GO,14.0386,4.01,0.0,0.0,272,0.0,0
1771963623.3958,25.9,50.0,0.0,PILOTING,SYS_GO,14.0963,4.01,0.0,0.0,272,0.0,0
1771963623.4432,27.5,50.0,0.0,PILOTING,SYS_GO,14.1139,4.01,0.0,0.0,272,0.0,0
1771963623.5597,24.3,50.0,0.0,PILOTING,SYS_GO,14.1676,4.01,0.0,0.0,271,0.0,0
1771963623.599,34.6,50.0,0.0,PILOTING,SYS_GO,14.1756,4.01,0.0,0.0,271,0.0,0
1771963623.6576,31.4,50.0,0.0,PILOTING,SYS_GO,14.2076,4.01,0.0,0.0,271,0.0,0
1771963623.7511,27.6,50.0,0.0,PILOTING,SYS_GO,14.2554,4.01,0.0,0.0,271,0.0,0
1771963623.7997,27.9,50.0,0.0,PILOTING,SYS_GO,14.2762,4.01,0.0,0.0,271,0.0,0
1771963623.9035,25.1,50.0,0.0,PILOTING,SYS_GO,14.3193,4.01,0.0,0.0,271,0.0,0
1771963623.9494,28.6,50.0,0.0,PILOTING,SYS_GO,14.3334,4.01,0.0,0.0,271,0.0,0
1771963623.998,28.4,50.0,0.0,PILOTING,SYS_GO,14.355,4.01,0.0,0.0,271,0.0,0
1771963624.1336,24.4,50.0,0.0,PILOTING,SYS_GO,14.4273,4.01,0.0,0.0,271,0.0,0
1771963624.1808,24.5,50.0,0.0,PILOTING,SYS_GO,14.4515,4.01,0.0,0.0,271,0.0,0
1771963624.2356,25.5,50.0,0.0,PILOTING,SYS_GO,14.472,4.01,0.0,0.0,271,0.0,0
1771963624.3467,22.2,50.0,0.0,PILOTING,SYS_GO,14.5372,4.01,0.0,0.0,49,0.0,0
1771963624.3922,29.2,50.0,0.0,PILOTING,SYS_GO,14.5477,4.01,0.0,0.0,49,0.0,0
