schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
2,1771967606.737,33.6,1.0,19.5,50.0,0.0,PILOTING,SYS_GO,17.3138,10.88,0.0,0.0,367,0.0,0
2,1771967606.7842,35.5,5.6,41.6,50.0,0.0,PILOTING,SYS_GO,17.3262,10.88,0.0,0.0,367,0.0,0
2,1771967606.8442,32.0,0.0,9.0,50.0,0.0,PILOTING,SYS_GO,17.3559,10.88,0.0,0.0,366,0.0,0
2,1771967606.894,47.7,8.0,24.3,50.0,0.0,PILOTING,SYS_GO,17.3608,10.88,0.0,0.0,366,0.0,0
2,1771967606.937,44.2,2.0,26.6,50.0,0.0,PILOTING,SYS_GO,17.3784,10.88,0.0,0.0,366,0.0,0
2,1771967606.9849,42.0,2.3,20.0,50.0,0.0,PILOTING,SYS_GO,17.3944,10.88,0.0,0.0,366,0.0,0
2,1771967607.0298,42.2,0.0,23.6,50.0,0.0,PILOTING,SYS_GO,17.4069,10.88,0.0,0.0,366,0.0,0
2,1771967607.0729,42.2,3.7,11.7,50.0,0.0,PILOTING,SYS_GO,17.4194,10.88,0.0,0.0,366,0.0,0
2,1771967607.1201,45.6,2.1,23.2,50.0,0.0,PILOTING,SYS_GO,17.4285,10.88,0.0,0.0,366,0.0,0
2,1771967607.1648,44.3,2.0,35.0,50.0,0.0,PILOTING,SYS_GO,17.4419,10.88,0.0,0.0,366,0.0,0
2,1771967607.2109,40.9,0.0,17.8,50.0,0.0,PILOTING,SYS_GO,17.4616,10.88,0.0,0.0,366,0.0,0
2,1771967607.2559,43.9,1.3,45.0,50.0,0.0,PILOTING,SYS_GO,17.4711,10.88,0.0,0.0,366,0.0,0
2,1771967607.3172,39.4,0.0,26.5,50.0,0.0,PILOTING,SYS_GO,17.4962,10.88,0.0,0.0,366,0.0,0
2,1771967607.3635,38.3,1.8,21.8,50.0,0.0,PILOTING,SYS_GO,17.5119,10.88,0.0,0.0,366,0.0,0
2,1771967607.4088,39.1,13.3,31.8,50.0,0.0,PILOTING,SYS_GO,17.5244,10.88,0.0,0.0,366,0.0,0
2,1771967607.4712,35.4,1.0,18.6,50.0,0.0,PILOTING,SYS_GO,17.5501,10.88,0.0,0.0,366,0.0,0
2,1771967607.5188,36.9,4.4,48.1,50.0,0.0,PILOTING,SYS_GO,17.5625,10.88,0.0,0.0,366,0.0,0
2,1771967607.5768,33.2,0.4,10.0,50.0,0.0,PILOTING,SYS_GO,17.5916,10.88,0.0,0.0,366,0.0,0
2,1771967607.6228,45.8,2.7,57.8,50.0,0.0,PILOTING,SYS_GO,17.5971,10.88,0.0,0.0,366,0.0,0
2,1771967607.6982,39.6,0.0,9.1,50.0,0.0,PILOTING,SYS_GO,17.6331,10.88,0.0,0.0,366,0.0,0
2,1771967607.7469,50.6,0.0,42.1,50.0,0.0,PILOTING,SYS_GO,17.6388,10.88,0.0,0.0,366,0.0,0
2,1771967607.806,44.1,0.0,10.7,50.0,0.0,PILOTING,SYS_GO,17.668,10.88,0.0,0.0,366,0.0,0
2,1771967607.8532,54.0,2.7,61.6,50.0,0.0,PILOTING,SYS_GO,17.6737,10.88,0.0,0.0,366,0.0,0
